character_id,name,rarity,element,weapon_type,description,Birth,Sex,Country,Region,CVNameCN,CVNameJP,CVNameKR,CVNameEN
1001,Sanhua,4,Glacio,Sword,"The bodyguard of Jinzhou's Magistrate, known for having an icy personality. Once regarded as the Asura of Calamity, Sanhua is now a taciturn guardian. She has learned to maintain inner calmness amidst the chaotic frequencies, and the things that once frightened her now fuel her determination.",January 20th,Female,Huanglong,Jinzhou,Song Yuanyuan,Matsuda Risae,Yu Yeong,Jennifer Armour
1002,Baizhi,4,Glacio,Rectifier,"Baizhi is a researcher in Remnant Ecoacoustics. Baizhi's once unfulfilled wish has now manifested as her loyal companion. The Remnant Creature You'tan is her source of healing powers, and a lifelong research focus.",September 10th,Female,Huanglong,Jinzhou,Chen TingTing,Seto Asami,Sung Ye Won,Samantha Dakin
1003,Lingyang,5,Glacio,Gauntlets,"An enthusiastic, brave member of the Liondance Troupe in Jinzhou, Lingyang is a sincere, compassionate visitor of the human community with incredible physical abilities, whose interest in humans easily shows. With his unique style, he embodies the spirit of Liondance.",August 8th,Male,Huanglong,Jinzhou,Lucky Fish,Hanae Natsuki,Lee Sang Ho,Aleksander Varadian
1004,Zhezhi,5,Glacio,Rectifier,"An artist for hire trying to make a living. Reserved and timid, she is not good with words but speaks volumes through her art, where her creations come to life with impossible authenticity.",December 31,Female,Huanglong,Jinzhou,Miao Zi,Makino Yui,Kim Ha Ru,Shin-Fei Chen
1005,Youhu,4,Glacio,Gauntlets,"A voluble and whimsical antique appraiser. Known for creating limericks on the spot, she presents her appraisals with flair and precision. She sets up a stall on the street, ensuring antiques find their way to those who truly cherish them.",October 13,Female,Huanglong,Chongzhou,Liu YiLei,Tomita Miyu,Park Si Yoon,Leonora Haig
1006,Carlotta,5,Glacio,Pistols,"The second daughter of Montelli and an art investor unbound by convention, Carlotta moves seamlessly through social circles and business transactions while quietly handling the family's unspeakable troubles in secret. The blooming of a gem, the taking of a life—In her own name, she reshapes reality, giving it a new dimension.",Unknown,Female,Ragunna,The Montelli Family,Yan Yeqiao,Ueda Kana,Kim Soon Mi,Jennifer English
2001,Chixia,4,Fusion,Pistols,Chixia is a spirited young Jinzhou Patroller who lights up the streets of Jinzhou. She's always ready to be the hero someone needs. She fuses such passion into the bullets that blast out of her fingertips.,April 18th,Female,Huanglong,Jinzhou,Cai Na,Nagase Anna,Kang Eun Ae,Harriet Carmichael
2002,Mortefi,4,Fusion,Pistols,"Mortefi, a skilled expert in Applied Tacetite Study and a member of the Academy's Department of Safety, possesses the unique ability to transform his accumulated frustration into fiery flames. From a burning wrath that consumes all, the red dragon shall descend.",November 6th,Male,New Federation,Jinzhou,Liu YiJia,Miura Katsuyuki,Kim Da Ol,Joseph May
2003,Changli,5,Fusion,Sword,"Changli is a counselor serving the Jinzhou Magistrate, and former Secretary-General in the capital. Shrouded in flames, she's fated to burn brightly until her final embers. With her fiery determination and strategic mindset, she rises to power, always thinking ahead to reach her ultimate goal.",June 6th,Female,Huanglong,Jinzhou,Mufei,Chiwa Saitô,Shin Na Ri,Ashleigh Haddad
2004,Brant,5,Fusion,Sword,"Brant, the captain of Rinascita's Troupe of Fools, is a free spirit and romantic. Unpredictable and full of life, he is the beating heart of the troupe. On stage, he slips into countless roles, donning new masks to breathe life into every story. Yet beyond the spotlight, he is unwaveringly genuine, offering nothing but true sincerity to those around him.",Unknown,Male,Rinascita,Troupe of Fools,Ray Mo,Kishio Daisuke,Lee Ju Seung,Hyoie O'Grady
2005,Lupa,5,Fusion,Broadblade,"A Gladiator of Septimont, a radiant star of the arena. Fiery and straightforward, Lupa lives like a wild lone wolf. As long as she can savor the adrenaline rush of battle, she doesn't mind if that same fire ends up consuming her whole.",Unknown,Female,Rinascita,Septimont,Shuo Xiaotu,Takahashi Minami,Kim Ye Reong,Kaja Chan
3001,Calcharo,5,Electro,Broadblade,"Leader of the Ghost Hounds, an international mercenary group. Ruthless, vengeful, unforgiving. His Forte allows him to summon a special Tacet Discord to assist his assault on the targets. A potential client must be mindful of the price to pay before making him an offer.",July 8th,Male,New Federation,"""Ghost Hounds""",Xu Xiang,Morikawa Toshiyuki,Park Min Gi,Ben Cura
3002,Yinlin,5,Electro,Rectifier,"Yinlin is a skilled Patroller and powerful Natural Resonator. After being suspended from her duties at the Public Security Bureau, she must now pursue hidden evils in secrecy.",September 17th,Female,Huanglong,Jinzhou,Mickey,Koshimizu Ami,Kang Sae Bom,Naomi McDonald
3003,Yuanwu,4,Electro,Gauntlets,Yuanwu owns a boxing gym where he teaches Leihuangquan and health management. He is well-respected in the community for his cordial demeanor and pleasant temperament.,October 2nd,Male,Huanglong,Jinzhou,Liu BeiChen,Shirokuma Hiroshi,Park Sung Tae,Adam Diggle
5001,Jinhsi,5,Spectro,Broadblade,"Jinhsi, Magistrate of Jinzhou, gently brightens the hopes of her people, like rays of winter sunlight. As the revered Sentinel's Appointed Resonator, she displays humility and wholeheartedly commits herself to guiding her people towards a brilliant future.",March 6th,Female,Huanglong,Jinzhou,Jiang Yue,Yoshino Aoyama,Park Ha Jin,Anna Devlin
3004,Xiangli Yao,5,Electro,Gauntlets,"Principal Investigator at Jinzhou Huaxu Academy, and the Academy's youngest multi-disciplinary scientist. A gentle soul with a sharp mind, whose relentless passion for Automata Mechanics always translates into constructive findings and insights.",Unknown,Male,Huanglong,Jinzhou,BanMa,Kobayashi Chiaki,Jung Eui Jin,Shaun Mendum
4001,Yangyang,4,Aero,Sword,"Yangyang is an Outrider of the Midnight Rangers. Once sheltered, now a fighter. She soars with the wind to protect others, like a skylark in flight.",October 11th,Female,Huanglong,Jinzhou,Jen Zhang,Ishikawa Yui,Lee Yoo Ri,Rebecca Yeo
4002,Aalto,4,Aero,Pistols,"Aalto is an enigmatic Information Broker, known for his elusive nature and welcoming smile. Underneath the facade, he is closely affiliated with the Black Shores. Rumor has it he'll provide any information at the right price.",June 11th,Male,New Federation,The Black Shores,Liang DaWei,Iwasaki Ryota,Im Chae Bin,James Day
4003,Jiyan,5,Aero,Broadblade,"Jiyan, leader of the Midnight Rangers, acts with swift and resolute righteousness. He possesses the formidable ability to conjure a powerful Qingloong from the winds, making him invincible on the battlefield.",December 14th,Male,Huanglong,Jinzhou,Sun Ye,Ono Yuki,Nam Doh Hyeong,Alex Jordan
4004,Jianxin,5,Aero,Gauntlets,"Jianxin, a Taoist monk and successor of Fengyiquan, has dedicated her life to mastering the ultimate martial art. With the power to harness and transform environmental Chi, she can create protective barriers that purify both body and mind.",April 6th,Female,Huanglong,Jinzhou,Elise Zhang,Anzai Chika,Lee Eun Jo,Ioanna Kimbook
4005,Rover: Aero,5,Aero,Sword,A mysterious Resonator with the power to absorb all sounds. Currently journeying to find their lost memories.,Unknown,Male,Unknown,Unknown,Ma Yang,Toshiki Masuda,Kim Sin Woo,Chase Brown
4006,Ciaccona,5,Aero,Pistols,"A wandering bard from Rinascita, Ciaccona. She sings not only for the Divinity, but also for the common folk. She records stories along her journeys, turning them into songs that evoke laughter, emotion, and tears in both the storytellers and the audience.",Unknown,Female,Rinascita,Ragunna,Ye Zhiqiu,Hasegawa Ikumi,Kim Ye Rim,Rebecca Hanssen
4007,Cartethyia,5,Aero,Sword,"Cartethyia, the wandering knight who travels across Rinascita. Formerly known as the Blessed Maiden, the vessel of Divinity, and the Queen of Gale and Tide, she went by the name Fleurdelys. Now, she is simply a free and unfettered wandering knight.",Unknown,Female,Rinascita,Ragunna,Yun Hezhui,Asakawa Yuu,Bae Ha Gyoung,Amanda Elizabeth Rischel
5002,Rover: Spectro,5,Spectro,Sword,A mysterious Resonator with the power to absorb all sounds. Currently journeying to find their lost memories.,Unknown,Male,Unknown,Unknown,Ma Yang,Toshiki Masuda,Kim Sin Woo,Chase Brown
5003,Verina,5,Spectro,Rectifier,"With an extensive knowledge of botany, Verina is always solicitous, always smiling, and always wishing for every flower to be blessed with the miracle of life.",May 18th,Female,New Federation,Jinzhou,Zhao Shuang,Sasahara Yu,Kang Sae Bom,Heather Nicol
3005,Lumi,4,Electro,Broadblade,"Navigator at Lollo Logistics and leader of a transport squad. Born in a mountain village in Yuezhou, Lumi's sincere and caring nature brings warmth to everyone around her.",Unknown,Female,Huanglong,Lollo Logistics,Jing Chen,Suzuki Minori,Jeong Hae Eun,Emily Cass
5004,Shorekeeper,5,Spectro,Rectifier,"The Shorekeeper, guardian of the Black Shores, this title alone once defined her. But desires, bonds, and emotions… She only began to understand these things after meeting you.",February 27,Female,The Black Shores,The Black Shores,Tang YaJing,Suwa Ayaka,Kim Bo Na,Stephanie McKeon
5005,Phoebe,5,Spectro,Rectifier,"Phoebe, Acolyte of the Order of the Deep, is a young woman of quiet devotion. With a kind heart, she fulfills her duties with unwavering diligence. Her prayers, like the light she carries, offer comfort and peace to all.",Unknown,Female,Rinascita,Order of the Deep,Fu Tingyun,Hondo Kaede,Lee Bo Yong,Rebecca LaChance
5006,Zani,5,Spectro,Gauntlets,"A member of Averardo Vault's security team and holder of Best Employee for longer than she cares to count. She has made plenty of plans for her free time, but for now, her biggest mission is simple: clocking out on time.",Unknown,Female,Rinascita,The Montelli Family,Nie Xiying,Ueda Hitomi,Won Esther,Alexandra Metaxa
6001,Taoqi,4,Havoc,Broadblade,"Taoqi is the director of border defense at the Ministry of Development. Despite her seemingly laid-back demeanor, she consistently proves to be a dependable and supportive individual, always lending her hand to those in need. Taoqi is not only a reliable colleague, but also a trustworthy friend that people can confide in.",February 25th,Female,Huanglong,Jinzhou,Kiyo,Youmiya Hina,Yi Sae Ah,Clare Louise Connolly
